visit_date,hits,visitors
2017-11-29,147,36
2017-11-30,114,25
2017-12-01,94,18
2017-12-02,93,24
2017-12-03,156,29
2017-12-04,139,28
2017-12-05,114,26
2017-12-06,124,24
2017-12-07,154,30
2017-12-08,127,25
2017-12-09,99,20
2017-12-10,245,29
2017-12-11,108,25
2017-12-12,134,26
2017-12-13,127,16
2017-12-14,123,23
2017-12-15,111,26
2017-12-16,91,16
2017-12-17,189,27
2017-12-18,119,27
2017-12-19,97,22
2017-12-20,125,22
2017-12-21,123,18
2017-12-22,119,23
2017-12-23,115,23
2017-12-24,219,19
2017-12-25,116,24
2017-12-26,99,22
2017-12-27,125,29
2017-12-28,113,18
2017-12-29,115,27
2017-12-30,112,28
2017-12-31,174,25
2018-01-01,117,33
2018-01-02,136,30
2018-01-03,129,25
2018-01-04,159,35
2018-01-05,128,17
2018-01-06,95,18
2018-01-07,209,36
2018-01-08,116,30
2018-01-09,129,33
2018-01-10,113,24
2018-01-11,184,33
2018-01-12,117,18
2018-01-13,96,27
2018-01-14,149,20
2018-01-15,153,36
2018-01-16,97,23
2018-01-17,126,25
2018-01-18,122,34
2018-01-19,127,22
2018-01-20,121,22
2018-01-21,201,38
2018-01-22,152,34
2018-01-23,144,29
2018-01-24,137,29
2018-01-25,153,29
2018-01-26,81,13
2018-01-27,105,18
2018-01-28,120,25
2018-01-29,115,17
2018-01-30,103,23
2018-01-31,117,23
2018-02-01,117,29
2018-02-02,98,19
2018-02-03,110,25
2018-02-04,127,27
2018-02-05,143,33
2018-02-06,177,46
2018-02-07,134,33
2018-02-08,160,37
2018-02-09,125,23
2018-02-10,190,25
2018-02-11,167,43
2018-02-12,159,48
2018-02-13,159,37
2018-02-14,133,28
2018-02-15,132,36
2018-02-16,118,25
2018-02-17,160,34
2018-02-18,133,34
2018-02-19,182,47
2018-02-20,160,41
2018-02-21,165,37
2018-02-22,166,54
2018-02-23,157,41
2018-02-24,128,34
2018-02-25,103,27
2018-02-26,144,43
2018-02-27,141,34
2018-02-28,249,49
2018-03-01,168,38
2018-03-02,127,31
2018-03-03,108,25
2018-03-04,151,30
2018-03-05,146,27
2018-03-06,170,38
2018-03-07,172,40
2018-03-08,154,43
2018-03-09,163,32
2018-03-10,157,33
2018-03-11,156,34
2018-03-12,183,37
2018-03-13,147,32
2018-03-14,204,48
2018-03-15,163,47
2018-03-16,159,58
2018-03-17,135,39
2018-03-18,145,45
2018-03-19,146,40
2018-03-20,158,36
2018-03-21,195,45
2018-03-22,247,30
2018-03-23,104,31
2018-03-24,117,43
2018-03-25,124,35
2018-03-26,154,38
2018-03-27,212,53
2018-03-28,246,42
2018-03-29,133,33
2018-03-30,130,29
2018-03-31,153,37
2018-04-01,126,32
2018-04-02,122,40
2018-04-03,148,26
2018-04-04,200,30
2018-04-05,218,48
2018-04-06,106,19
2018-04-07,110,35
2018-04-08,136,30
2018-04-09,209,42
2018-04-10,151,32
2018-04-11,157,43
2018-04-12,102,38
2018-04-13,150,37
2018-04-14,148,30
2018-04-15,143,30
2018-04-16,152,28
2018-04-17,127,28
2018-04-18,114,29
2018-04-19,201,46
2018-04-20,135,27
2018-04-21,195,30
2018-04-22,100,27
2018-04-23,186,56
2018-04-24,128,30
2018-04-25,134,36
2018-04-26,168,41
2018-04-27,111,30
2018-04-28,136,24
2018-04-29,140,24
2018-04-30,109,25
2018-05-01,107,25
2018-05-02,133,37
2018-05-03,151,35
2018-05-04,112,22
2018-05-05,143,26
2018-05-06,107,31
2018-05-07,143,31
2018-05-08,180,40
2018-05-09,181,31
2018-05-10,135,28
2018-05-11,152,37
2018-05-12,113,21
2018-05-13,243,46
2018-05-14,130,28
2018-05-15,171,35
2018-05-16,100,32
2018-05-17,172,32
2018-05-18,168,27
2018-05-19,106,18
2018-05-20,114,23
2018-05-21,96,32
2018-05-22,181,38
2018-05-23,166,37
2018-05-24,140,36
2018-05-25,117,29
2018-05-26,139,26
2018-05-27,153,41
2018-05-28,111,26
2018-05-29,160,39
2018-05-30,141,28
2018-05-31,136,30
2018-06-01,151,42
2018-06-02,143,25
2018-06-03,154,29
2018-06-04,205,52
2018-06-05,186,45
2018-06-06,158,40
2018-06-07,139,35
2018-06-08,159,16
2018-06-09,99,27
2018-06-10,149,37
2018-06-11,130,35
2018-06-12,148,29
2018-06-13,157,35
2018-06-14,83,27
2018-06-15,130,32
2018-06-16,123,29
2018-06-17,169,34
2018-06-18,170,39
2018-06-19,145,39
2018-06-20,157,40
2018-06-21,142,37
2018-06-22,179,24
2018-06-23,113,27
2018-06-24,134,35
2018-06-25,228,41
2018-06-26,169,33
2018-06-27,166,31
2018-06-28,119,39
2018-06-29,114,24
2018-06-30,133,32
2018-07-01,103,16
